id,channel,title,game,viewers,date
95910,xqcow,NA Streamer plays games,Witch It,14129,1542681574583
95917,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6565,1542681574606
95931,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3569,1542681574656
95979,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1238,1542681574806
96003,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24847,1542681635491
96009,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",16630,1542681635511
96010,xqcow,NA Streamer plays games,Witch It,14129,1542681635514
96017,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6528,1542681635535
96031,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3555,1542681635576
96080,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1238,1542681635730
96103,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24876,1542681696557
96109,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",16630,1542681696577
96111,xqcow,NA Streamer plays games,Witch It,13864,1542681696584
96117,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6493,1542681696606
96131,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3605,1542681696659
96175,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1400,1542681696858
96203,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,24954,1542681757625
96209,disguisedtoast,100 SUBS FOR EVERY SHINY | CAUGHT 1 SHINY MAGIKARP TODAY | 80/153 Pokemons Caught | Follow @DisguisedToast,"Pokemon: Let's Go, Pikachu!/Eevee!",16501,1542681757647
96211,xqcow,NA Streamer plays games,Witch It,13608,1542681757654
96217,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6483,1542681757679
96230,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3615,1542681757718
