id,channel,title,game,viewers,date
92409,xqcow,hand sim xd,Witch It,14433,1542679439273
92415,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6830,1542679439298
92430,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3727,1542679439344
92502,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,27023,1542679500158
92508,disguisedtoast,100 GIFT SUBS EVERY SHINY!!! | SHINY MAGIKARP: NOT ENDING STREAM UNTIL I CATCH ONE | 80/153 Pokemons Caught | Follow @DisguisedT,"Pokemon: Let's Go, Pikachu!/Eevee!",16724,1542679500186
92510,xqcow,hand sim xd,Witch It,14333,1542679500192
92514,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6782,1542679500207
92529,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3768,1542679500264
92593,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1035,1542679500475
92602,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,26824,1542679560982
92608,disguisedtoast,100 GIFT SUBS EVERY SHINY!!! | SHINY MAGIKARP: NOT ENDING STREAM UNTIL I CATCH ONE | 80/153 Pokemons Caught | Follow @DisguisedT,"Pokemon: Let's Go, Pikachu!/Eevee!",16750,1542679561018
92610,xqcow,hand sim xd,Witch It,14363,1542679561026
92615,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6757,1542679561043
92629,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3789,1542679561091
92702,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,27015,1542679621986
92709,disguisedtoast,100 GIFT SUBS EVERY SHINY!!! | SHINY MAGIKARP: NOT ENDING STREAM UNTIL I CATCH ONE | 80/153 Pokemons Caught | Follow @DisguisedT,"Pokemon: Let's Go, Pikachu!/Eevee!",16835,1542679622020
92710,xqcow,hand sim xd,Witch It,14286,1542679622026
92715,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6745,1542679622049
92729,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3795,1542679622106
92789,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1078,1542679622308
92802,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,27032,1542679682951
92809,disguisedtoast,100 GIFT SUBS EVERY SHINY!!! | SHINY MAGIKARP: NOT ENDING STREAM UNTIL I CATCH ONE | 80/153 Pokemons Caught | Follow @DisguisedT,"Pokemon: Let's Go, Pikachu!/Eevee!",16759,1542679682969
92810,xqcow,hand sim xd,Witch It,14364,1542679682972
92815,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6772,1542679682983
92829,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3795,1542679683017
92886,chemicaldragoon,Follow for follow! self promoting is allowed in chat! playing with viewers! gifting subs! give aways! VIP's & more!,Fortnite,1142,1542679683184
92902,sodapoppin,"Hello truckers
2185539880492956115848973",Witch It,26431,1542679743785
92909,disguisedtoast,100 GIFT SUBS EVERY SHINY!!! | SHINY MAGIKARP: NOT ENDING STREAM UNTIL I CATCH ONE | 80/153 Pokemons Caught | Follow @DisguisedT,"Pokemon: Let's Go, Pikachu!/Eevee!",16705,1542679743799
92910,xqcow,hand sim xd,Witch It,14364,1542679743803
92915,giantwaffle,Dirty Tractor Action | @GiantWaffle,Farming Simulator 19,6807,1542679743814
92930,bobross,Bob Ross Marathon -10AM - 7PM PT // 10PM - 7AM PT,Art,3765,1542679743854
